127.0.0.1 - - [09/Apr/2019:20:33:57 +0800] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:02 +0800] "GET /bookstore/ HTTP/1.1" 200 6673
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:02 +0800] "GET /bookstore/js/my.js HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:02 +0800] "GET /bookstore/css/main.css HTTP/1.1" 200 6874
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:02 +0800] "GET /bookstore/ad/index_ad.jpg HTTP/1.1" 200 157825
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:02 +0800] "GET /bookstore/images/cart.gif HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:02 +0800] "GET /bookstore/images/logo.png HTTP/1.1" 200 4266
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:02 +0800] "GET /bookstore/images/hottitle.gif HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:02 +0800] "GET /bookstore/images/serchbutton.gif HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:02 +0800] "GET /bookstore/images/billboard.gif HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:02 +0800] "GET /bookstore/bookcover/java2.jpg HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:02 +0800] "GET /bookstore/bookcover/travelbook.jpg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:09 +0800] "GET /bookstore/showProductByPage?category=%E8%AE%A1%E7%AE%97%E6%9C%BA HTTP/1.1" 200 8244
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:09 +0800] "GET /bookstore/images/productlist.gif HTTP/1.1" 200 3491
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:10 +0800] "GET /bookstore/bookcover/103.jpg HTTP/1.1" 200 5527
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:10 +0800] "GET /bookstore/bookcover/102.jpg HTTP/1.1" 200 8009
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:10 +0800] "GET /bookstore/bookcover/104.jpg HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:10 +0800] "GET /bookstore/bookcover/107.jpg HTTP/1.1" 200 5248
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:22 +0800] "GET /bookstore/showProductByPage?category=%E7%94%9F%E6%B4%BB HTTP/1.1" 200 6028
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:23 +0800] "GET /bookstore/showProductByPage?category=%E6%96%87%E5%AD%A6 HTTP/1.1" 200 8521
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:23 +0800] "GET /bookstore/bookcover/105.jpg HTTP/1.1" 200 5513
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:24 +0800] "GET /bookstore/bookcover/112.jpg HTTP/1.1" 200 24260
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:24 +0800] "GET /bookstore/bookcover/111.jpg HTTP/1.1" 200 39625
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:24 +0800] "GET /bookstore/bookcover/110.jpg HTTP/1.1" 200 23833
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:41 +0800] "GET /bookstore/showProductByPage?category=%E8%AE%A1%E7%AE%97%E6%9C%BA HTTP/1.1" 200 8244
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:43 +0800] "GET /bookstore/showProductByPage?category=%E8%AE%A1%E7%AE%97%E6%9C%BA&page=2 HTTP/1.1" 200 7229
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:43 +0800] "GET /bookstore/bookcover/109.jpg HTTP/1.1" 200 59965
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:43 +0800] "GET /bookstore/bookcover/108.jpg HTTP/1.1" 200 2950
0:0:0:0:0:0:0:1 - - [09/Apr/2019:20:34:45 +0800] "GET /bookstore/showProductByPage?category=%E8%AE%A1%E7%AE%97%E6%9C%BA&page=1 HTTP/1.1" 200 8244
